protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID30453,2776,lmer,0.04228612191793264,0.02708281451144697,0.11877811129578361,0.11704082368571306,0.016640448639342432,2.7956226375717693e-12,0.014805944205273305,0.01770612868022921,0.4031471243914413,0.9192210937719016,4.8814844501925215e-12,0.6115985623075503
OID30454,2776,lmer,0.054599378589840916,0.03219614470663952,0.09025190475875385,0.005479682583490719,0.011721179898131111,0.6401943937195509,-0.0095031887838359,0.012392670738179904,0.44327515239287774,0.9192210937719016,0.673367474934238,0.641432312101179
OID30455,2776,lmer,-0.01031805193835913,0.02421627281616544,0.6701496433079133,0.044395020673314405,0.017731449763109294,0.012371809295449582,0.03903586511917644,0.018906355954120047,0.039090023827364956,0.9658064987933149,0.015757210706143412,0.12052757346770862
OID30456,2776,lmer,-0.057987849262412024,0.033100644952700924,0.08012356812807844,0.02200648462126935,0.011831979975530066,0.06305260932460532,0.0019968932092462445,0.012507365368264007,0.8731683770163254,0.9192210937719016,0.07625270047820495,0.9363255562886795
OID30457,2776,lmer,0.022755093836000603,0.02845111218268442,0.42403506639362687,-0.020854222265575244,0.014514049604150576,0.15093160033875164,0.026537075362786974,0.015407433708937794,0.08517265182805729,0.9192210937719016,0.17513817697108813,0.2140507814974484
OID30458,2776,lmer,-0.020134919836399333,0.028390635978635184,0.478371216853801,0.035145431025978766,0.01655999844480248,0.03394018778819194,0.010950900967430278,0.017609106841176517,0.5340912282034066,0.9192210937719016,0.04205475578842096,0.7186945217814388
OID30459,2776,lmer,0.02534040259972508,0.03110277664764482,0.4154336185493178,-0.03285579496483654,0.012637368646993564,0.009397746234836964,-0.003969357737527734,0.013377861144182417,0.7667204647301178,0.9192210937719016,0.0120745548327158,0.8829988339503229
OID30460,2776,lmer,-0.048389580149033114,0.03278702935866276,0.1403124548904787,-0.006143988535513849,0.011167029844768812,0.5822540936629736,0.010172336503582341,0.011798519638199107,0.38870528633311596,0.9192210937719016,0.61619432142537,0.5983072943400201
OID30461,2776,lmer,0.01327846977274881,0.030002756677741584,0.6581758621911556,0.022441472366986404,0.015752914698585613,0.15443910595130453,-0.02655393094255759,0.016728650389517784,0.1126074813079841,0.9617650593221932,0.1787116020172855,0.2617502509115263
OID30462,2776,lmer,0.00805740432778992,0.03184390610368432,0.8003032323374579,-0.017007043660019715,0.010960536616042503,0.120912705147043,-0.002392607663644638,0.011581597148883392,0.8363553882695182,0.9876628897025737,0.14216727157876374,0.9183571750232162
OID30463,2776,lmer,0.012626101614708478,0.027360546103379374,0.6445707152719742,0.017060543507219854,0.015311154995645906,0.26531135847526954,-0.012621147560537787,0.01627265057814193,0.4380819462760236,0.958035484012181,0.29667371875409826,0.6374445033084191
OID30464,2776,lmer,-0.004875545568000076,0.03178378225494874,0.8781180875579802,0.11455202872994927,0.009729400932109292,6.3182661750286965e-31,0.0034078649640163854,0.010268989141885246,0.7400327876522939,0.9937700677269244,1.517526050091116e-30,0.8659390865923358
OID30465,2776,lmer,0.02361579625991734,0.025612034716478375,0.3567510803667234,0.25583044139939676,0.016201264734876233,8.345617768042553e-53,0.057668514540697026,0.017244992483071396,8.42408477332384e-4,0.9192210937719016,3.0153573221246457e-52,0.016525905900956768
OID30466,2776,lmer,0.002980988998593153,0.027735595942355758,0.9144324979976299,0.08157522422295067,0.01649105168750138,8.215924912832214e-7,0.03779946309892537,0.01754000141294872,0.03128684950046654,0.9937700677269244,1.2686290818916302e-6,0.10252405951778443
OID30467,2549,lmer,0.013964168322490637,0.034124048646537286,0.6824795796186434,-0.045846677022526136,0.011317825005116286,5.34468468006992e-5,-0.004585261314403031,0.012094750797987736,0.704655379259381,0.96687582788308,7.711013484622101e-5,0.8424162264111127
OID30468,2549,lmer,-0.0795906158860716,0.02895775818583623,0.006111040161905611,0.06799389492235425,0.016213548005969854,2.8894522264776627e-5,0.023669737196982916,0.017409456953222636,0.17414708379840804,0.7275628468118033,4.21871571328382e-5,0.35621548351486826
OID30469,2776,lmer,-0.004424455582570766,0.02896617260265816,0.8786324586640797,0.1385538531250722,0.013814013132054484,4.218905656438699e-23,0.02106036340899969,0.014651890217071677,0.1507794319285623,0.9937700677269244,8.988237050853001e-23,0.3257415221930433
OID30470,2776,lmer,0.011776555725311664,0.031068241204967977,0.7047340737518258,0.02477154319093594,0.012876312925170611,0.05452881206588325,0.007055776740054153,0.013633980296416853,0.6048593266030302,0.9670887289493355,0.06619091265306343,0.770707851639345
OID30471,2776,lmer,-0.00769064341913891,0.02285327504148509,0.7365531779086074,0.26911044550898366,0.01603999168520073,4.964242509760685e-59,0.003133445112219218,0.017094542450747208,0.8545818656618428,0.9737426228072635,2.087838972090717e-58,0.9283438757089234
